Rank,State,Percentage,Number
1,Vermont,0.6,0
2,Massachusetts,1.2,4000
3,New Hampshire,2.5,1000
4,Connecticut,3.3,5000
5,Maine,3.4,2000
6,New Jersey,4,14000
7,District of Columbia,4.6,1000
8,Washington,5.2,16000
9,Rhode Island,5.3,2000
10,Montana,5.4,2000
11,South Dakota,5.4,2000
12,Michigan,5.5,23000
13,Wisconsin,5.5,16000
14,Ohio,5.9,26000
15,Missouri,5.9,14000
16,Alabama,5.9,7000
17,Pennsylvania,6.1,29000
18,Georgia,6.5,23000
19,Virginia,6.6,21000
20,Oregon,6.7,10000
21,Delaware,6.9,3000
22,Indiana,7.1,22000
23,Illinois,7.2,34000
24,Maryland,7.2,18000
25,West Virginia,7.2,4000
26,California,7.5,100000
27,Minnesota,7.5,20000
28,Mississippi,7.5,6000
29,Iowa,7.5,10000
30,Louisiana,7.6,10000
31,New Mexico,7.8,4000
32,Utah,7.8,16000
33,Oklahoma,7.9,11000
34,Kansas,7.9,9000
35,New York,8.3,49000
36,Colorado,8.3,17000
37,Hawaii,9.2,3000
38,Florida,9.4,52000
39,North Carolina,10,33000
40,Alaska,10.3,2000
41,Kentucky,11,17000
42,Texas,11.5,108000
43,Wyoming,12,3000
44,Arizona,12.1,32000
45,Nevada,12.6,13000
46,Nebraska,12.6,10000
47,Idaho,12.7,10000
48,North Dakota,13.5,5000
49,Tennessee,13.5,27000
50,Arkansas,14.4,13000
51,South Carolina,14.8,23000
