Rank,State,Percentage,Number
1,Maine,38.6,6000
2,District of Columbia,38.8,1000
3,Vermont,40.7,2000
4,Maryland,41.3,23000
5,Utah,45.2,22000
6,Washington,47,38000
7,Wisconsin,47.2,33000
8,Delaware,47.9,4000
9,Kentucky,49.3,19000
10,South Dakota,49.7,3000
11,Ohio,52.2,59000
12,Virginia,53,51000
13,Indiana,53,48000
14,Iowa,53,20000
15,North Dakota,53.4,3000
16,Rhode Island,53.4,5000
17,Oregon,53.9,30000
18,Kansas,54.7,19000
19,Louisiana,54.9,24000
20,Minnesota,55.4,32000
21,Nebraska,55.4,12000
22,Montana,55.6,5000
23,Michigan,55.7,66000
24,New Jersey,55.7,40000
25,Hawaii,56.2,5000
26,Wyoming,56.6,4000
27,New Hampshire,56.9,9000
28,Pennsylvania,57.5,56000
29,Alaska,57.8,5000
30,Missouri,58.8,40000
31,New York,59.1,85000
32,Connecticut,59.1,24000
33,West Virginia,59.3,11000
34,Arizona,59.6,52000
35,North Carolina,60.2,77000
36,Colorado,60.9,29000
37,Oklahoma,61.1,35000
38,Idaho,61.2,15000
39,Massachusetts,61.2,41000
40,Tennessee,61.5,35000
41,Illinois,62.1,90000
42,New Mexico,62.9,20000
43,Arkansas,63.9,23000
44,Florida,64.7,116000
45,California,66,259000
46,Mississippi,66.3,18000
47,Texas,67.1,209000
48,South Carolina,68,36000
49,Alabama,69.7,31000
50,Georgia,70.4,73000
51,Nevada,71,23000
