Rank,State,Percentage,Number
1,Utah,3.16,"10,000"
2,Georgia,3.2,"28,000"
3,Texas,3.24,"80,000"
4,Maryland,3.26,"15,000"
5,Mississippi,3.3,"8,000"
6,Indiana,3.37,"18,000"
7,New York,3.41,"47,000"
8,New Jersey,3.42,"23,000"
9,Pennsylvania,3.42,"31,000"
10,Virginia,3.56,"22,000"
11,North Carolina,3.57,"28,000"
12,Louisiana,3.58,"13,000"
13,Kansas,3.63,"9,000"
14,Alabama,3.63,"14,000"
15,Michigan,3.64,"28,000"
16,Missouri,3.69,"17,000"
17,Nebraska,3.69,"6,000"
18,Kentucky,3.77,"13,000"
19,Minnesota,3.86,"17,000"
20,Connecticut,3.86,"11,000"
21,Tennessee,3.91,"20,000"
22,Massachusetts,3.92,"19,000"
23,South Carolina,3.95,"15,000"
24,Idaho,3.97,"6,000"
25,Ohio,3.97,"36,000"
26,Hawaii,4.04,"4,000"
27,California,4.04,"122,000"
28,Illinois,4.04,"40,000"
29,Rhode Island,4.05,"3,000"
30,Wisconsin,4.07,"18,000"
31,Arizona,4.08,"23,000"
32,West Virginia,4.08,"5,000"
33,Arkansas,4.11,"10,000"
34,Delaware,4.15,"3,000"
35,Oklahoma,4.19,"13,000"
36,Iowa,4.21,"10,000"
37,Florida,4.34,"62,000"
38,Alaska,4.37,"3,000"
39,North Dakota,4.38,"2,000"
40,New Hampshire,4.41,"4,000"
41,Maine,4.59,"4,000"
42,Wyoming,4.63,"2,000"
43,Oregon,4.65,"14,000"
44,South Dakota,4.78,"3,000"
45,New Mexico,4.8,"8,000"
46,Washington,5.01,"27,000"
47,Nevada,5.09,"12,000"
48,Colorado,5.12,"22,000"
49,Montana,5.18,"4,000"
50,District of Columbia,5.42,"2,000"
51,Vermont,5.61,"2,000"
